IUCN_name,Median_RK_corrected,AdultBodyMass_g_median,Home_range_Km2,longevity_y,Ageofmaturity_d,SocialGrpSize,Diet_Invertebrates,Diet_Vertebrates.ectotherms,Diet_Scavenger,Diet_Seed,Diet_Plant,Activity_1Diurnal_2Nocturnal,Litter_clutch_size,Litters_or_clutches_per_y,Diet_breadth,Artificial,Cropland,Grassland,Forest,Sparse.vegetation,Water.bodies,Habitat_breadth,Population.density_IndKm2,risk_category
Alouatta caraya,0.013483468,5.57696,0.0195,26.32916667,1215.19918,8.9,0,0,0,0,60,Diurnal,1.005,1,2,0,0,0,1,0,0,1,11.2,low
Alouatta guariba,0.006447189,5.18833,0.03,13.80833333,766.567175477778,7.4,0,0,0,0,60,Diurnal,1.39114833333333,1.1676130952381,2,0,0,0,1,0,0,1,10.5,low
Alouatta seniculus,0.065369251,6.39831,0.1,25,1672.76256,7.9,0,0,0,0,60,Diurnal,1.2,0.815,2,0,0,0,1,0,0,2,30,medium
Atelocynus microtis,0.132525805,8.36322,3.7557624,11,1095,1,0,0,0,0,20,Nocturnal,2,1.28220833333333,2,0,0,0,1,0,0,1,26.4155583571428,high
Bradypus variegatus,0.312088102,4.13636,0.01,3.241666667,1138.91512,1,0,0,0,0,100,Nocturnal,1,1.05,1,0,0,0,1,0,0,1,650,high
Cabassous tatouay,0.124914442,5.34995,3.64327093333333,9.15181944469916,465.052771907937,1.399,100,0,0,0,0,Nocturnal,2.8489125,1.38492083333333,1,1,0,1,1,0,0,3,41.7719359444444,high
Cabassous unicinctus,0.126381453,3.98797,1.016,7.483333333,418.416622563889,1,100,0,0,0,0,Nocturnal,1,1.28558333333333,1,0,0,1,1,1,0,5,34.013613968254,high
Callithrix geoffroyi,0.03596502,0.342,0.23,16.5,477,7.03978653846154,20,0,0,0,0,Diurnal,2.24,2,4,0,0,0,1,0,0,1,9.7,medium
Callithrix jacchus,0.031842427,0.29021,0.02,16.25,477,8.55,20,0,0,0,0,Diurnal,2.275,2,4,1,0,0,1,0,0,2,671,medium
Callithrix penicillata,0.02678125,0.33998,0.01,15.7,477,5.9,20,0,0,0,0,Diurnal,2,2,4,0,0,0,1,0,0,1,40,low
Caluromys derbianus,0.2863125,0.32672,0.25285026,6.333333333,240,1,20,0,0,10,40,Nocturnal,3.105,2,5,0,1,0,1,0,0,2,153.806847619048,high
Caluromys lanatus,0.083334465,0.35033,0.287691466666667,5,218.545501885714,1,20,0,0,10,40,Nocturnal,2.5,3,5,0,1,0,1,0,0,2,180.533547619048,high
Caluromys philander,0.039561522,0.24647,0.00996,7.616666667,309.26,1,20,0,0,10,40,Nocturnal,4.26,2,5,0,1,0,1,0,0,2,40,medium
Cavia aperea,0.08206874,0.52438,9.22e-4,6,74,2.4596,0,0,0,0,100,Diurnal,2.31,5,1,0,1,1,0,1,0,6,994.628130000001,medium
Cerdocyon thous,0.2547607035,5.74166,1.41,11.5,276.05452,2,50,0,10,0,0,Nocturnal,3.545,1.9,3,1,1,1,1,1,0,9,0.41,high
Chaetomys subspinosus,0.007193004,1.29999,0.05,10.0750111113673,493.5298649,1,0,0,0,60,0,Nocturnal,2.43695,1.6409625,2,0,0,0,1,0,0,1,51.1368544444444,low
Chironectes minimus,0.007347908,0.946,0.5302635,3,304.4,1,50,0,0,0,20,Nocturnal,3.43,1.1,3,0,0,0,1,0,0,2,217.907666666667,low
Choloepus didactylus,0.051969371,6.25,5.65,32.28333333,1270.87,1,0,0,0,0,70,Nocturnal,1,1,2,0,0,0,1,0,0,1,74.5541906666667,medium
Choloepus hoffmanni,0.859413381,4.75001,3.58328083333333,32.1,823.61616,1,0,0,0,0,70,Nocturnal,1,0.745,2,0,0,0,1,0,0,2,48.3338963333333,high
Chrysocyon brachyurus,0.026418529,23.24984,21.36,15.66666667,730,3.54878571428571,10,20,0,0,10,Nocturnal,2.5,1,5,0,1,1,0,1,0,6,24.213699125,low
Coendou insidiosus,0.0464191285,0.99832,0.74640074,1.416666667,576.58582688,1.44169047619048,0,0,0,0,70,Nocturnal,0.97,1.11,2,0,0,0,1,0,0,1,170.9351,medium
Coendou prehensilis,0.06302909,4.1162,0.14,17.31666667,578.284,1,0,0,0,0,70,Nocturnal,0.99,1.11,2,0,0,0,1,0,0,1,70.054593,medium
Coendou spinosus,0.1243315875,0.75078,0.063,3.658333333,239.070444547619,1.32452380952381,0,0,0,0,70,Nocturnal,2.99685,1.95491726190476,2,0,0,1,1,0,0,2,141.77440000000001,high
Conepatus chinga,0.531751825,1.91752,1.95,10,4015,1.829,80,10,0,0,0,Nocturnal,3.5,1.629875,3,0,1,1,0,1,0,6,43.6354453095238,high
Conepatus semistriatus,0.142973707,1.59867,0.27,14,300,1,80,10,0,0,0,Nocturnal,3.7425,1.41845,3,0,1,1,1,1,0,7,59.1070692301587,high
Cuniculus paca,0.007193004,8.17255,0.0205,16,335.48,1,0,0,0,30,50,Nocturnal,1.01,1.5,3,0,0,0,1,0,0,2,25,low
Cyclopes didactylus,0.024430556,0.26395,0.03,2.3,418.753961164286,1,100,0,0,0,0,Nocturnal,1,2,1,0,0,0,1,0,0,2,77,low
Dasyprocta azarae,0.0316424815,2.97681,1.66005665333333,11.7625,468.746074066667,3.616625,10,0,0,0,50,Diurnal,2.1616,1.5994,3,0,0,0,1,0,0,1,6.22,medium
Dasyprocta fuliginosa,0.025928305,3.50002,0.025,18.19166667,345.390120152381,2,10,0,0,0,50,Diurnal,2,2,3,0,0,0,1,0,0,2,145.98208065873,low
Dasyprocta leporina,0.02533913,3.02002,0.034,17.8,193,3.75177972027972,10,0,0,0,50,Diurnal,1.575,1.98975,3,0,0,0,1,0,0,1,11.5,low
Dasypus hybridus,0.096867941,1.5,1.04221423333333,11.6967277790267,365,1.085,100,0,0,0,0,Nocturnal,7.27,1.38701666666667,1,0,1,1,1,1,0,6,110.041687468254,high
Dasypus novemcinctus,0.075885416,3.94901,0.04,18.65,385.35594,1,100,0,0,0,0,Nocturnal,3.98,1,1,0,1,1,1,1,0,6,0.26,medium
Dasypus sabanicola,0.055223779,1.15001,0.4383469,7.62645277818333,358.057047416508,1.1605,100,0,0,0,0,Nocturnal,4,1.4429875,1,0,0,1,1,0,0,2,49.4427977777778,medium
Dasypus septemcinctus,0.012669565,1.52664,1.02,16.71666667,273.924,1.33,100,0,0,0,0,Nocturnal,5.9925,1.48625,1,0,0,1,1,1,0,5,107.082217134921,low
Didelphis albiventris,0.067460058,1.03047,0.00402,1.641666667,315.68,3.494,20,0,30,0,20,Nocturnal,6.9,1.5,4,1,1,1,1,1,0,8,490.456962333333,medium
Didelphis aurita,0.2066167725,1.149875,0.015,4,178,1.3665,20,0,30,0,20,Nocturnal,6.155,2,4,1,1,0,1,1,0,6,40,high
Didelphis marsupialis,1.4527630785,1.13475,0.17,4,178,1,20,0,30,0,20,Nocturnal,6.645,2,4,1,1,0,1,1,0,6,120,high
Didelphis pernigra,4.681341402,1.03047,0.473495543333333,1.641666667,315.68,1.686,20,0,30,0,20,Nocturnal,6.9,1.5,4,1,1,1,1,0,0,5,289.980091952381,high
Didelphis virginiana,0.16175,2.19548,0.58,4.179166667,184,1,20,0,30,0,20,Nocturnal,7.6325,2,4,1,1,0,1,1,0,6,6.15,high
Eira barbara,0.01540416,4.13499,11.4,18,700,1.5,0,0,0,0,0,Nocturnal,2.07,1,2,0,0,0,1,1,0,3,0.425,low
Euphractus sexcinctus,0.134389214,4.78289,0.65,18.83333333,274,1,50,0,0,0,50,Nocturnal,1.74,1.45765,2,0,1,1,1,1,0,6,1.06,high
Galea flavidens,0.706409828,0.45,1.36170737333333,7.79383333372,77.03,2.4015,0,0,0,0,100,Diurnal,2.70948791666667,7,1,0,1,1,0,0,0,2,722.109092857143,high
Galictis cuja,0.0535625,1,4.51482142666667,10.2,475.647356769048,4.93778571428571,20,20,0,0,0,Nocturnal,3.5,1.51555,5,0,1,1,1,1,0,8,99.954806952381,medium
Galictis vittata,0.02914,3.2,3.24,11.15416667,468.12909381,1,20,20,0,0,0,Nocturnal,2,1.4144,5,0,1,1,1,1,0,8,58.8996520634921,medium
Gracilinanus agilis,0.009665691,0.022,0.21800642,6.075,270,1.3605,50,0,0,0,0,Nocturnal,11.75,2,3,0,0,0,1,0,0,2,845.234821111111,low
Herpailurus yagouaroundi,0.024022805,6.875,52.35,16.775,803.5104,1.5,10,0,0,0,0,Diurnal,2.42,2,3,0,1,1,1,1,0,8,20.1978815238095,low
Hydrochoerus hydrochaeris,0.057046678,48.14491,0.07,12,566.36,10,0,0,0,0,90,Diurnal,3.49,1,2,1,1,1,1,1,1,9,6.48,medium
Leopardus colocolo,0.0411761505,5,3.8,19.55,516.182793438572,1,0,0,0,0,0,Nocturnal,2.5,1,1,0,1,1,1,1,0,7,3.97897577777778,medium
Leopardus geoffroyi,0.082530693,4,5.56,23,479,3.48479487179487,0,10,0,0,0,Nocturnal,2.02,1.315,3,0,1,1,1,1,0,8,6.53960944444444,medium
Leopardus pardalis,0.014334444,11.88,5.08,24.76666667,663.5048,1,0,20,0,0,0,Nocturnal,1.66,1,3,0,1,1,1,1,0,8,0.102,low
Leopardus tigrinus,0.0462514315,2.25,2.9,21.79166667,821.25,1,0,0,0,0,0,Nocturnal,1.5,1.1,1,0,1,1,1,1,0,8,7.57662033333333,medium
Leopardus wiedii,0.017356645,3.27081,8.54,21,659,1,0,0,0,0,0,Nocturnal,1.5,1.06378333333333,2,0,1,1,1,1,0,8,5.9687351111110996,low
Lepus europaeus,0.062928858,3.74,0.31,10.65,227.66128,1.8865,0,0,0,0,100,Nocturnal,2.29,3.75,1,0,1,1,0,1,0,5,47.48,medium
Lontra longicaudis,0.007915064,6.55497,6.29,14.89166667,521.539367076667,1,10,0,0,0,0,Nocturnal,3.3925,1.1511,3,0,0,1,1,1,1,7,11.1807041111111,low
Lutreolina crassicaudata,0.02678125,0.5373,0.00143,2.954166667,182.64,2.28864285714286,20,20,0,0,0,Nocturnal,7.855,2,4,0,0,1,1,1,0,5,523.273566666667,low
Lycalopex gymnocercus,0.355182452,4.54267,2.68,13.7,304.18,4.57203571428571,0,20,0,0,20,Nocturnal,3.09,1.1,4,0,1,1,1,1,0,7,20.534979,high
Lycalopex sechurae,3.43586843,4.234,2.16235963333333,9.9,549.436595733333,1,10,30,0,0,10,Nocturnal,3.33115,1.4613,5,1,0,1,1,0,0,4,38.0224176666667,high
Lycalopex vetulus,0.071002002,4.23347,3.8,12.55833333,276.05452,2.489,10,30,0,0,10,Diurnal,3.2725,1.625,5,0,1,1,0,1,0,6,41.521479,medium
Marmosa murina,0.0197,0.03628,1.5835672,12,406.92,1,40,10,0,0,0,Nocturnal,6.95,2,5,1,1,0,1,1,0,6,509.452114015873,low
Mazama americana,0.03940037,22.79975,0.6095,13.81666667,380.116,1,0,0,0,20,80,Nocturnal,1.22,1,2,0,0,1,1,1,0,5,0.24,medium
Mazama gouazoubira,0.0562853075,16.63317,0.764,13.4,623.938,1,0,0,0,20,50,Nocturnal,1,1,3,0,0,1,1,1,0,5,3.16,medium
Mazama nana,0.022043725,16.49985,2.22678652,18.29,649.203258649206,3.406,0,0,0,20,80,Nocturnal,1.53092452380952,1.15893888888889,2,0,0,0,1,0,0,1,46.4856136587302,low
Metachirus nudicaudatus,0.0170967525,0.375,0.084,3,425.9916154,1,30,20,0,0,0,Nocturnal,4.435,1.55,5,0,0,0,1,1,0,4,22,low
Microsciurus flaviventer,0.035245663000000003,0.092,0.126281426666667,10.6818859724592,410.419167766667,2,0,0,0,50,0,Diurnal,2,2.0075125,2,0,0,0,1,0,0,1,385.079384603175,medium
Mus musculus,0.217261905,0.0193,5.16e-4,5,53.355,6.22625,20,0,0,20,60,Nocturnal,5.805,4.57,3,1,1,1,1,1,0,9,4000,high
Mustela frenata,0.121286546,0.170315,0.21,7.4,162.22388,1,0,0,0,0,0,Nocturnal,6.36,1,1,0,1,1,1,1,0,7,403.708477611111,high
Myocastor coypus,0.062329235,6.93745,0.02,8.483333333,159.789,7.5,0,0,0,0,100,Nocturnal,5.34,2.32,1,0,0,1,1,1,1,6,189.4712995,medium
Myrmecophaga tridactyla,0.08742,29.53183,4,26,1187.004,1,100,0,0,0,0,Nocturnal,1,1.17,1,0,1,1,1,1,0,6,0.2,high
Nasua nasua,0.0367548485,3.79385,0.79,20.6625,785.91,3.58171153846154,10,0,0,0,0,Diurnal,3.75,1.1,3,0,0,0,1,1,0,3,9.09,medium
Nectomys squamipes,0.007347908,0.19075,0.00155,2.658333333,216.619282428572,1,30,20,0,0,30,Nocturnal,4.4075,2.254,4,0,0,0,1,0,0,2,447.6473,low
Oligoryzomys flavescens,0.651785714,0.0213,0.21376622,6.04608055579666,159.338310085714,1.4445,30,0,0,40,0,Nocturnal,4.5625,2.5826,3,0,1,1,0,1,0,5,615.453804444444,high
Orthogeomys hispidus,0.2863125,0.5,0.13332256,11.139483333625,84.30772,2.25941818181818,0,0,0,0,100,Diurnal,1.9775,3.45931666666667,1,0,0,0,1,0,0,1,185.864897777778,high
Ozotoceros bezoarticus,0.010859343,34.6204,6.16,21.875,365,3.5,0,0,0,0,100,Nocturnal,1,1,1,0,1,1,0,1,0,5,3.66,low
Panthera onca,0.007347908,83.94309,52.55,23,906.15208,1,0,10,0,0,0,Nocturnal,1.98,0.5,3,0,0,1,1,0,1,4,0.02405,low
Philander frenatus,0.0115122715,0.467,0.04,3.5,216.665,1.19589285714286,30,20,0,0,0,Nocturnal,4.675,2.5,5,0,0,0,1,1,0,4,96.6161309523809,low
Philander opossum,0.04103437,0.51,0.00307,3.5,213.08,1,30,20,0,0,0,Nocturnal,4.675,2.5,5,0,1,0,1,1,0,5,95.74,medium
Potos flavus,0.018392005,2.44181,0.22,32,830.7777,1,10,0,0,0,0,Nocturnal,1.055,1,3,0,0,0,1,1,0,3,29.798340047619,low
Priodontes maximus,0.009574693,45.19,3.19,14,320,1,90,0,0,0,0,Nocturnal,1.5,1.28554166666667,2,0,1,1,1,1,0,6,1.6,low
Procyon cancrivorus,0.071930041,6.93172,5.57,16.48333333,498.185,1,50,10,0,10,0,Nocturnal,2.685,1,5,0,0,1,1,1,0,6,21.5659999206349,medium
Puma concolor,0.0099091255,51.60004,129.89,21.85416667,912,1,0,0,0,0,0,Nocturnal,2.76,0.47,1,0,1,1,1,1,0,8,0.06,low
Rattus norvegicus,0.045215212,0.28289,0.00293,5,78.78396,2.5745,30,0,0,40,10,Nocturnal,8.9225,3.68,4,1,1,1,1,1,0,9,981.323200000001,medium
Rattus rattus,0.209635568,0.2,0.00232,4.2,102.645,2.254,30,0,0,40,10,Nocturnal,5.915,4.28,4,1,1,1,1,1,0,8,1280,high
Saimiri sciureus,0.064964693,0.74947,0.68,27,1090.58878,34.85,20,0,0,20,20,Diurnal,1,1.07,5,0,0,0,1,0,0,1,22,medium
Sapajus apella,0.01040732,2.6425,0.88,45.08333333,1727.44808,7.9,20,0,0,20,20,Diurnal,1.05,0.6,6,0,0,0,1,0,0,2,13,low
Sapajus cay,0.05828,2.6425,0.88,45.08333333,1727.44808,7.9,20,0,0,20,20,Diurnal,1.05,0.6,6,0,0,0,1,0,0,1,13,medium
Sapajus libidinosus,0.026418529,2.68721,3,45.04166667,1727.44808,7.74904487179486,20,0,0,0,10,Diurnal,1.05,0.6,5,0,0,0,1,0,0,2,14.1,low
Sciurus aestuans,0.005135872,0.17734,0.107467596666667,8.066666667,249.442666780952,1,0,0,0,50,30,Diurnal,2.3,2.20994583333333,3,1,0,0,1,0,0,2,294.825166666667,low
Sciurus aureogaster,0.0954375,0.595,0.01,11.27916667,280.291303752381,1,0,0,0,50,30,Diurnal,1.97,1.88956666666667,3,1,1,0,1,0,0,3,136.234211111111,high
Sciurus granatensis,0.183582016,0.31844,0.00778,11.475,324.280946546667,1,0,0,0,50,30,Diurnal,1.915,1.95,3,1,0,0,1,0,0,2,50,high
Sciurus igniventris,0.067460058,0.7,0.127386606666667,11.9070256553577,396.1084539,1,0,0,0,50,30,Diurnal,2.20256,1.7577,3,0,0,0,1,0,0,1,69.8407882777778,medium
Sciurus stramineus,0.1520283055,0.4333,0.135579733333333,7.316666667,250.265929314286,1.3625,0,0,0,50,30,Diurnal,2.9862675,2.09574583333333,3,1,0,0,1,0,0,2,104.355533333333,high
Sciurus variegatoides,0.174720162,0.485,0.294376473333333,15.07916667,94.5,2.15283333333333,0,0,0,50,30,Diurnal,4.99,2.5074,3,0,1,0,1,1,0,4,143.507320777778,high
Speothos venaticus,0.024022805,6,4.6,10.33333333,319.598,4.5,0,0,0,0,0,Diurnal,3.965,2,1,0,0,1,1,1,0,5,0.04,low
Sylvilagus brasiliensis,0.044979712,0.96837,0.10030404,2,113.04906,1,0,0,0,0,100,Nocturnal,2.225,4.6,1,0,1,1,1,1,0,5,788.8185,medium
Sylvilagus floridanus,0.0972173125,1.178595,0.01,9,123,2.3555,0,0,0,0,100,Nocturnal,4.81,3.9,1,0,1,1,1,1,0,6,728.96,high
Tamandua mexicana,0.594089324,4.194255,0.22,9.5,365.116,1,100,0,0,0,0,Nocturnal,1,1.175,1,0,0,1,1,1,0,5,5,high
Tamandua tetradactyla,0.096867941,4.8,2.72,9.5,365.116,1,100,0,0,0,0,Nocturnal,1,1.35,1,0,0,1,1,1,0,6,0.39,high
Tapirus terrestris,0.026418529,207.50091,4.4,35,862.17,1,0,0,0,0,100,Nocturnal,1,1.02854714285714,1,0,0,1,1,1,0,5,0.4,low
